Ticker,Agent,Delta %,Gamma %,Vega %,Theta %,Vanna %,Volga %,Rho %,Residual %
SPY,Agent_hardThreshold,12.88,-9.24,44.8,-2.34,8.44,2.52,-0.02,-19.76
SPY,Agent_Perc,16.07,-3.75,39.5,-7.04,8.16,4.72,-0.02,-20.73
SPY,Agent_Garch,20.32,-18.89,39.86,-0.24,5.55,0.99,-0.01,-14.15
SPY,Agent_LongTerm,0.01,-4.38,58.19,3.9,12.6,-0.73,-0.02,-20.18
SPY,Agent_Vote,12.66,-15.77,50.32,-1.44,5.45,1.4,-0.01,-12.96
QQQ,Agent_hardThreshold,2.81,-12.76,54.67,-0.76,2.73,9.64,0.0,-16.62
QQQ,Agent_Perc,10.38,9.51,19.51,-12.03,6.83,15.87,-0.0,-25.88
QQQ,Agent_Garch,-5.33,8.92,47.41,-6.11,2.4,9.83,0.01,-19.98
QQQ,Agent_LongTerm,-0.77,-19.46,57.72,3.42,2.34,7.13,0.02,-9.14
QQQ,Agent_Vote,1.27,-8.56,66.74,0.66,1.01,6.11,0.02,-15.64
DIA,Agent_hardThreshold,-4.1,3.97,48.7,-10.06,6.17,14.41,0.0,-12.58
DIA,Agent_Perc,-3.75,2.6,50.89,-8.11,4.56,16.2,-0.0,-13.88
DIA,Agent_Garch,-8.63,6.18,58.07,-8.56,2.44,9.69,0.0,-6.43
DIA,Agent_LongTerm,-6.71,1.86,66.42,0.11,1.02,7.41,0.01,-16.46
DIA,Agent_Vote,-1.82,-1.06,66.08,-5.12,0.91,9.9,-0.01,-15.1
