Ticker,Agent,Win Rate,Sharpe,Sortino,Ann. Return,Ann. Vol,Max Drawdown
SPY,Agent_hardThreshold,0.7,1.2646,1.3248,5.7974,1.5155,-0.7231
SPY,Agent_Perc,0.6923,1.0237,1.112,3.9001,1.5524,-0.7231
SPY,Agent_Garch,0.6809,1.6241,1.6751,11.2763,1.544,-0.7002
SPY,Agent_LongTerm,0.6957,0.5235,0.4641,1.3097,1.5991,-0.9109
QQQ,Agent_hardThreshold,0.7297,0.8025,0.6644,2.536,1.5739,-0.8346
QQQ,Agent_Perc,0.641,0.2067,0.1965,0.4273,1.7213,-0.8675
QQQ,Agent_Garch,0.6316,0.4221,0.3595,0.9469,1.5785,-0.8209
QQQ,Agent_LongTerm,0.7333,1.6349,1.5359,10.3727,1.487,-0.6117
DIA,Agent_hardThreshold,0.75,3.2397,3.8718,119.7859,1.4798,-0.5029
DIA,Agent_Perc,0.7778,3.2784,4.3172,242.479,1.6761,-0.5029
DIA,Agent_Garch,0.8364,3.1882,3.757,141.6461,1.5559,-0.5029
DIA,Agent_LongTerm,0.7551,3.4592,3.9057,209.2354,1.5461,-0.5029
