Ticker,Agent,Delta %,Gamma %,Vega %,Theta %,Vanna %,Volga %,Rho %,Residual %
AAPL,Agent_hardThreshold,17.52,-30.2,26.97,10.41,3.2,-1.7,-0.01,-9.99
AAPL,Agent_Perc,9.52,-11.16,21.49,5.86,4.14,15.59,-0.01,-32.22
AAPL,Agent_Garch,9.79,-21.2,28.28,8.64,3.17,7.35,-0.0,-21.56
AAPL,Agent_LongTerm,10.77,-8.78,46.82,-1.95,1.41,-1.72,0.0,-28.56
ACMR,Agent_hardThreshold,6.44,-7.34,55.56,-8.52,1.03,1.92,0.0,-19.19
ACMR,Agent_Perc,23.47,-6.99,48.71,-6.22,-6.62,-4.91,0.02,-3.07
ACMR,Agent_Garch,-7.58,6.03,67.53,-6.54,1.89,1.11,0.02,-9.31
ACMR,Agent_LongTerm,-1.19,36.75,5.91,-15.02,10.63,-9.47,0.06,-20.97
AMD,Agent_hardThreshold,7.15,-21.53,8.63,8.58,3.72,25.47,0.0,-24.91
AMD,Agent_Perc,6.02,-13.35,8.19,4.76,5.05,30.28,-0.0,-32.35
AMD,Agent_Garch,8.88,-22.23,13.71,7.24,4.27,20.53,0.0,-23.15
AMD,Agent_LongTerm,-5.72,-13.49,50.14,5.77,-1.82,7.03,0.0,-16.03
GOOG,Agent_hardThreshold,12.85,-18.27,21.75,13.61,-1.79,11.25,-0.01,-20.46
GOOG,Agent_Perc,11.5,-2.96,24.81,2.14,-1.25,20.7,-0.01,-36.61
GOOG,Agent_Garch,14.37,-15.67,19.82,9.32,0.16,14.76,-0.01,-25.89
GOOG,Agent_LongTerm,17.89,-2.98,26.98,3.76,0.17,11.49,-0.01,-36.71
INTC,Agent_hardThreshold,-5.17,7.87,20.4,10.16,2.78,20.65,-0.0,-32.97
INTC,Agent_Perc,5.3,11.22,14.44,-1.52,3.31,24.23,-0.0,-39.98
INTC,Agent_Garch,0.85,-0.51,31.48,8.82,4.69,16.82,-0.0,-36.82
INTC,Agent_LongTerm,-10.42,10.34,42.03,3.15,5.71,3.51,-0.0,-24.83
META,Agent_hardThreshold,-19.06,-24.77,9.4,27.99,0.25,-3.99,0.02,14.53
META,Agent_Perc,-26.31,-20.21,26.12,9.76,0.01,16.33,0.02,-1.24
META,Agent_Garch,-17.56,-27.06,9.44,33.54,-0.02,0.73,0.01,11.65
META,Agent_LongTerm,6.5,-48.47,10.06,22.45,2.51,2.28,0.0,7.72
TSLA,Agent_hardThreshold,5.24,-13.41,50.83,2.63,2.89,-24.38,0.0,0.61
TSLA,Agent_Perc,1.06,10.34,32.66,-10.97,2.58,8.57,0.0,-33.79
TSLA,Agent_Garch,-2.72,1.94,53.48,-4.59,3.01,1.4,0.0,-32.85
TSLA,Agent_LongTerm,-11.85,5.65,41.71,-3.36,3.69,5.16,-0.0,-28.58
