Date,Transaction,Earned
2024-07-08,short,-96.75420483398437
2024-07-09,rehedge,0.0
2024-07-10,rehedge,0.0
2024-07-11,rehedge,-0.23637608119429387
2024-07-12,rehedge,0.0
2024-07-15,rehedge,0.0
2024-07-16,rehedge,0.0
2024-07-17,rehedge,-39.54179309663414
2024-07-18,rehedge,-79.69130670456707
2024-07-19,rehedge,-140.43328655009418
2024-07-22,close,-99.95899293860703
2024-07-26,long,-4.6963200073242195
2024-07-29,rehedge,0.0
2024-07-30,close,5.20001220703125
2024-07-30,short,25.92201953124998
2024-07-31,close,-158.5799560546875
2024-08-01,long,-24.501330322265627
2024-08-02,rehedge,111.2098388671875
2024-08-05,rehedge,0.0
2024-08-06,rehedge,2.481136924341854
2024-08-07,rehedge,-73.83668277138258
2024-08-08,rehedge,0.0
2024-08-09,rehedge,45.01395456414457
2024-08-12,rehedge,0.0
2024-08-13,rehedge,484.5198749742991
2024-08-14,rehedge,0.0
2024-08-15,rehedge,0.0
2024-08-16,rehedge,0.0
2024-08-19,rehedge,-71.2209979363206
2024-08-20,rehedge,0.0
2024-08-21,rehedge,0.0
2024-08-22,close,-171.50641905586235
2024-08-26,short,-121.22015551757814
2024-08-27,rehedge,0.0
2024-08-28,rehedge,-42.18656994047706
2024-08-29,rehedge,0.0
2024-08-30,close,282.48771740141547
2024-09-03,short,-55.60320153808594
2024-09-04,rehedge,0.0
2024-09-05,rehedge,0.0
2024-09-06,rehedge,0.0
2024-09-09,rehedge,12.86164708291335
2024-09-10,rehedge,-3.9246028777091624
2024-09-11,rehedge,-124.88770515687997
2024-09-12,rehedge,-197.3402463851436
2024-09-13,rehedge,-174.33879237021165
2024-09-16,rehedge,0.0
2024-09-17,rehedge,0.0
2024-09-18,rehedge,-5.989990234375
2024-09-19,close,-38.31982421875
2024-09-26,short,-98.07149798583984
2024-09-27,rehedge,-4.15008544921875
2024-09-30,close,73.0010986328125
2024-10-01,short,-21.403739868164063
2024-10-02,rehedge,0.0
2024-10-03,rehedge,-2.39996337890625
2024-10-04,rehedge,0.0
