Date,Transaction,Earned
2024-05-01,long straddle,0.0
2024-05-01,rehedge,0.0
2024-05-02,rehedge,0.0
2024-05-03,close call (take_profit),24.49957275390625
2024-05-03,close put (stop_loss),24.49957275390625
2024-05-06,long straddle,0.0
2024-05-06,rehedge,0.0
2024-05-07,rehedge,0.0
2024-05-08,rehedge,0.0
2024-05-09,rehedge,0.0
2024-05-10,rehedge,0.0
2024-05-13,rehedge,0.0
2024-05-14,close put (stop_loss),-252.60046386719182
2024-05-15,close call (take_profit),-24.24011230468227
2024-05-16,long straddle,0.0
2024-05-16,rehedge,0.0
2024-05-17,rehedge,0.0
2024-05-20,rehedge,0.0
2024-05-21,rehedge,0.0
2024-05-22,rehedge,-27.44568888346339
2024-05-23,rehedge,0.0
2024-05-24,close put (stop_loss),-119.97079467773966
2024-05-24,rehedge,0.0
2024-05-28,rehedge,0.0
2024-05-29,rehedge,-3.8829763299295337
2024-05-30,rehedge,1.0070383185079663
2024-05-31,force_close,129.29242594790537
2024-06-05,long straddle,0.0
2024-06-05,rehedge,0.0
2024-06-06,rehedge,0.32000732421875
2024-06-07,rehedge,3.4200439453125
2024-06-10,rehedge,0.0
2024-06-11,rehedge,0.0
2024-06-12,close put (stop_loss),-532.620361328125
2024-06-12,rehedge,0.0
2024-06-13,close call (take_profit),601.279296875
2024-06-14,long straddle,0.0
2024-06-14,rehedge,0.0
2024-06-17,rehedge,0.0
2024-06-18,close put (stop_loss),-25.199462890625
2024-06-18,rehedge,0.0
2024-06-20,rehedge,0.40105292137639026
2024-06-21,rehedge,0.0
2024-06-24,rehedge,22.188305629888248
2024-06-25,rehedge,0.0
2024-06-26,rehedge,0.0
2024-06-27,rehedge,0.0
2024-06-28,force_close,210.4920318295941
2024-07-01,long straddle,0.0
2024-07-01,rehedge,0.0
2024-07-02,rehedge,0.0
2024-07-03,close call (take_profit),11.38006591796875
2024-07-05,close put (stop_loss),35.599853515625
2024-07-11,long straddle,0.0
2024-07-11,rehedge,0.0
2024-07-12,rehedge,0.0
2024-07-15,rehedge,-30.610473632811647
2024-07-16,rehedge,0.0
2024-07-17,close put (take_profit),851.7505493164062
2024-07-17,rehedge,0.0
2024-07-18,close call (stop_loss),-17.16006469726574
2024-07-19,long straddle,0.0
2024-07-19,rehedge,0.0
2024-07-22,rehedge,155.76037597656375
2024-07-23,rehedge,11.900085449219148
2024-07-24,close call (stop_loss),578.760009765625
2024-07-24,close put (take_profit),578.760009765625
2024-07-25,long straddle,0.0
2024-07-25,rehedge,0.0
2024-07-26,rehedge,51.70013427734375
2024-07-29,rehedge,0.0
2024-07-30,close call (stop_loss),-28.07958984375
2024-07-30,rehedge,0.0
2024-07-31,force_close,774.0240042550257
2024-08-01,long straddle,0.0
2024-08-01,rehedge,0.0
2024-08-02,close put (take_profit),354.280029296875
2024-08-02,rehedge,0.0
2024-08-05,close call (stop_loss),311.5802001953126
2024-08-06,long straddle,0.0
2024-08-06,rehedge,0.0
2024-08-07,rehedge,-61.880126953125
2024-08-08,rehedge,42.70004272460966
2024-08-09,rehedge,32.6400146484375
2024-08-12,rehedge,23.70001220703125
2024-08-13,close call (take_profit),82.19970703125
2024-08-13,close put (stop_loss),82.19970703125
2024-08-14,long straddle,0.0
2024-08-14,rehedge,0.0
2024-08-15,close call (take_profit),264.26995849609375
2024-08-15,rehedge,0.0
2024-08-16,close put (stop_loss),-37.7503662109375
2024-08-19,long straddle,0.0
2024-08-19,rehedge,0.0
2024-08-20,rehedge,8.079833984375
2024-08-21,rehedge,0.0
2024-08-22,close put (take_profit),111.44955444335938
2024-08-22,rehedge,0.0
2024-08-23,rehedge,0.0
2024-08-26,rehedge,33.59160099473115
2024-08-27,rehedge,0.0
2024-08-28,rehedge,102.77070298305767
2024-08-29,rehedge,0.0
2024-08-30,force_close,310.45785593431987
2024-09-03,long straddle,0.0
2024-09-03,rehedge,0.0
2024-09-04,rehedge,0.0
2024-09-05,rehedge,0.0
2024-09-06,close call (stop_loss),338.049774169924
2024-09-06,close put (take_profit),338.049774169924
2024-09-09,long straddle,0.0
2024-09-09,rehedge,0.0
2024-09-10,rehedge,42.0001220703125
2024-09-11,close call (take_profit),784.1195983886719
2024-09-11,rehedge,0.0
2024-09-12,close put (stop_loss),-728.599670410156
2024-09-13,long straddle,0.0
2024-09-13,rehedge,0.0
2024-09-16,rehedge,10.500030517578125
2024-09-17,rehedge,0.0
2024-09-18,rehedge,0.0
2024-09-19,rehedge,137.63983154296807
2024-09-20,close put (stop_loss),-141.80059814453324
2024-09-20,rehedge,0.0
2024-09-23,rehedge,0.0
2024-09-24,rehedge,0.0
2024-09-25,rehedge,0.0
2024-09-26,close call (take_profit),1.950469970707502
2024-09-27,long straddle,0.0
2024-09-27,rehedge,0.0
2024-09-30,force_close,-76.5604248046908
2024-10-01,long straddle,0.0
2024-10-01,rehedge,0.0
2024-10-02,rehedge,0.0
2024-10-03,rehedge,-0.19636674360793904
2024-10-04,rehedge,0.0
2024-10-07,rehedge,48.40074409459339
2024-10-08,rehedge,0.0
2024-10-09,close put (stop_loss),-5.200195312498181
2024-10-09,rehedge,0.0
2024-10-10,rehedge,-1.788953584898593
2024-10-11,rehedge,0.0
2024-10-14,close call (take_profit),-36.22106933593727
2024-10-15,long straddle,0.0
2024-10-15,rehedge,0.0
2024-10-16,rehedge,0.0
2024-10-17,rehedge,0.0
2024-10-18,rehedge,0.0
2024-10-21,close put (stop_loss),-162.15069580078102
2024-10-21,rehedge,0.0
2024-05-31,force_close,0.0
2024-06-28,force_close,0.0
2024-07-01,long straddle,0.0
2024-07-01,rehedge,0.0
2024-07-02,rehedge,0.0
2024-07-03,close call (take_profit),11.38006591796875
2024-07-05,rehedge,35.8399658203125
2024-07-08,rehedge,12.5999755859375
2024-07-09,rehedge,0.0
2024-07-10,rehedge,59.59991455078125
2024-07-11,rehedge,0.0
2024-07-12,rehedge,20.286242254849526
2024-07-15,rehedge,4.7110269480738225
2024-07-16,rehedge,0.0
2024-07-17,rehedge,0.0
2024-07-18,close put (breakeven),-65.15994262695312
2024-07-30,long straddle,0.0
2024-07-30,rehedge,0.0
2024-07-31,force_close,853.0205383300818
2024-08-07,long straddle,0.0
2024-08-07,rehedge,0.0
2024-08-08,close call (take_profit),571.8004760742202
2024-08-08,rehedge,0.0
2024-08-09,rehedge,16.01771320280477
2024-08-12,rehedge,8.97885782210551
2024-08-13,rehedge,302.68259267337953
2024-08-14,rehedge,20.328863925621135
2024-08-15,rehedge,544.3207282394656
2024-08-16,rehedge,65.25770343717977
2024-08-19,rehedge,310.9507356237191
2024-08-20,rehedge,0.0
2024-08-21,rehedge,106.93460727496682
2024-08-22,rehedge,0.0
2024-08-23,rehedge,177.52282168749161
2024-08-26,rehedge,0.0
2024-08-27,rehedge,58.27110085741879
2024-08-28,rehedge,0.0
2024-08-29,rehedge,29.673295698314405
2024-08-30,force_close,211.11069269229802
2024-09-03,long straddle,0.0
2024-09-03,rehedge,0.0
2024-09-04,rehedge,0.0
2024-09-05,rehedge,0.0
2024-09-06,close put (take_profit),338.049774169924
2024-09-06,rehedge,0.0
2024-09-09,rehedge,0.0
2024-09-10,rehedge,0.0
2024-09-11,close call (breakeven),27.04022216796875
2024-09-12,long straddle,0.0
2024-09-12,rehedge,0.0
2024-09-13,rehedge,4.239990234375
2024-09-16,rehedge,10.500030517578125
2024-09-17,rehedge,0.0
2024-09-18,rehedge,0.0
2024-09-19,close call (take_profit),178.03979492187432
2024-09-19,rehedge,0.0
2024-09-20,rehedge,0.0
2024-09-23,rehedge,15.021247414981644
2024-09-24,rehedge,30.42649213005518
2024-09-25,rehedge,19.60593189912703
2024-09-26,rehedge,61.11182717715997
2024-09-27,rehedge,0.0
2024-09-30,force_close,147.16500674977124
2024-10-21,long straddle,0.0
2024-10-21,rehedge,0.0
2024-10-22,rehedge,0.0
2024-10-23,close put (take_profit),255.60043334960915
2024-10-23,rehedge,0.0
2024-10-24,rehedge,0.0
2024-10-25,close call (breakeven),48.99999999999977
2024-10-31,force_close,0.0
2024-11-05,long straddle,0.0
2024-11-05,rehedge,0.0
2024-11-06,close call (take_profit),41.60009765625
2024-11-06,rehedge,0.0
2024-11-07,rehedge,63.679931640625
2024-11-08,rehedge,17.12005615234375
2024-11-11,rehedge,0.0
2024-11-13,rehedge,0.0
2024-11-14,rehedge,0.0
2024-11-15,rehedge,0.0
2024-11-18,rehedge,-8.745687484741211
2024-11-19,rehedge,8.762474060058594
2024-11-20,rehedge,0.0
2024-11-21,rehedge,17.032677841186512
2024-11-22,rehedge,25.299198760986314
2024-11-25,rehedge,10.033041839599605
2024-11-26,rehedge,30.94608856201171
2024-11-27,rehedge,0.0
2024-11-29,force_close,69.77212097167944
2024-12-31,force_close,0.0
2025-01-15,long straddle,0.0
2025-01-15,rehedge,0.0
2025-01-16,rehedge,39.8199462890625
2025-01-17,rehedge,0.0
2025-01-21,close call (take_profit),-118.45989990234375
2025-01-21,rehedge,0.0
2025-01-22,rehedge,46.97015380859375
2025-01-23,rehedge,15.6800537109375
2025-01-24,rehedge,0.0
2025-01-27,rehedge,0.0
2025-01-28,rehedge,43.71483764648406
2025-01-29,rehedge,0.0
2025-01-30,rehedge,33.12671908674565
2025-01-31,force_close,70.99743252458234
2025-02-03,long straddle,0.0
2025-02-03,rehedge,0.0
2025-02-04,rehedge,25.43994140625
2025-02-05,close call (take_profit),-65.9400634765625
2025-02-05,rehedge,0.0
2025-02-06,rehedge,8.25
2025-02-07,rehedge,0.0
2025-02-10,rehedge,28.52042422087345
2025-02-11,rehedge,0.0
2025-02-12,rehedge,0.0
2025-02-13,rehedge,107.45598090758926
2025-02-14,rehedge,36.05617661116071
2025-02-18,rehedge,26.47739248035714
