Date,Transaction,Earned
2024-09-05,short,0.0
2024-09-06,rehedge,0.0
2024-09-09,rehedge,-2.7772728704630936
2024-09-10,rehedge,-7.834332866053273
2024-09-11,close,-387.34811106035545
2024-09-12,short,0.0
2024-09-13,close,-35.039794921875
2024-09-17,short,0.0
2024-09-18,rehedge,-6.679931640625
2024-09-19,close,-38.31982421875
2024-09-19,long,43.68017578125003
2024-09-20,rehedge,38.2197265625
2024-09-23,rehedge,0.0
2024-09-24,rehedge,0.0
2024-09-25,rehedge,3.8234913105867463
2024-09-26,close,-65.79370615433663
2024-10-01,short,0.0
2024-10-02,rehedge,0.0
2024-10-03,rehedge,-2.39996337890625
2024-10-04,rehedge,0.0
2024-10-07,rehedge,-72.76689346976991
2024-10-08,rehedge,0.0
2024-10-09,rehedge,0.0
2024-10-10,rehedge,1.710759112224423
2024-10-11,rehedge,0.0
2024-10-14,rehedge,0.0
2024-10-15,close,130.8078433419122
2024-10-17,short,0.0
2024-10-18,rehedge,0.0
2024-10-21,close,63.6814575195325
2024-10-23,long,0.0
2024-10-24,close,-78.75
2024-10-25,short,0.0
2024-10-28,rehedge,0.0
2024-10-29,rehedge,0.0
2024-10-30,rehedge,9.960989145133226
2024-10-31,close,-540.2991239107555
2024-11-06,long,0.0
2024-11-07,rehedge,0.0
2024-11-08,close,-464.5316772460901
2024-11-11,long,0.0
2024-11-12,rehedge,11.159912109375
2024-11-13,rehedge,0.0
2024-11-14,close,402.6125488281224
2024-11-18,long,0.0
2024-11-19,rehedge,0.0
2024-11-20,close,-137.29864501953352
2024-11-21,short,0.0
2024-11-22,close,134.32196044921875
2024-11-25,long,0.0
2024-11-26,rehedge,0.0
2024-11-27,close,-69.93927001953125
2024-11-27,short,102.02044677734376
2024-11-29,close,230.63818359375
2024-12-10,short,0.0
2024-12-11,rehedge,0.0
2024-12-12,rehedge,-25.76809969815372
2024-12-13,rehedge,0.0
2024-12-16,rehedge,0.0
2024-12-17,rehedge,-31.238635670056283
2024-12-18,rehedge,-341.5729155106992
2024-12-19,close,9.5428466796875
2024-12-24,long,0.0
2024-12-26,rehedge,0.0
2024-12-27,rehedge,0.0
2024-12-30,close,-477.67230224609284
2025-01-08,long,0.0
2025-01-10,close,144.0
2025-01-13,long,0.0
2025-01-14,close,7.9998779296875
2025-01-15,long,0.0
2025-01-16,rehedge,4.56005859375
2025-01-17,rehedge,0.0
2025-01-21,close,-350.4084472656273
2025-01-29,short,0.0
2025-01-30,rehedge,0.0
