Date,Transaction,Earned
2024-05-29,short,0.0
2024-05-31,close,0.0
2024-06-18,long,0.0
2024-06-21,close,0.0
2024-06-24,short,0.0
2024-06-25,close,0.0
2024-06-26,long,0.0
2024-06-27,close,0.0
2024-06-27,short,117.00000000000053
2024-06-28,close,0.0
2024-07-05,short,0.0
2024-07-31,close,0.0
2024-08-02,short,0.0
2024-08-07,close,0.0
2024-08-07,long,253.99999999999991
2024-08-08,close,0.0
2024-08-13,long,0.0
2024-08-22,close,0.0
2024-08-22,short,-182.00000000000003
2024-08-23,close,0.0
2024-08-26,short,0.0
2024-08-27,close,0.0
2024-08-27,long,220.99999999999972
2024-08-28,close,0.0
2024-08-28,short,-154.99999999999972
2024-08-29,close,0.0
2024-08-29,long,220.00000000000028
2024-08-30,close,0.0
2024-09-03,long,0.0
2024-09-06,close,0.0
2024-09-09,short,0.0
2024-09-10,close,0.0
2024-09-11,long,0.0
2024-09-12,close,0.0
2024-09-13,long,0.0
2024-09-27,close,0.0
2024-09-27,short,-39.00000000000006
2024-09-30,close,0.0
2024-10-07,short,0.0
2024-10-18,close,0.0
2024-10-21,long,0.0
2024-10-24,close,0.0
2024-10-24,short,208.0
2024-10-30,close,0.0
2024-11-01,short,0.0
2024-11-07,close,0.0
2024-11-08,short,0.0
2024-11-11,close,0.0
2024-11-13,short,0.0
2024-11-18,close,0.0
2024-11-19,long,0.0
2024-11-21,close,0.0
2024-11-21,short,345.9999999999997
2024-11-22,close,0.0
2024-11-22,long,39.99999999999986
2024-11-27,close,0.0
2024-11-27,short,-8.999999999999986
2024-11-29,close,0.0
2024-12-03,long,0.0
2024-12-18,close,0.0
2024-12-18,short,1103.0
2024-12-23,close,0.0
2024-12-23,long,428.9999999999999
2024-12-30,close,0.0
2024-12-30,short,637.0000000000001
2024-12-31,close,0.0
2025-01-02,short,0.0
2025-01-23,close,0.0
2025-01-28,short,0.0
2025-01-31,close,0.0
2025-02-03,long,0.0
2025-02-21,close,0.0
2025-02-25,short,0.0
2025-02-28,close,0.0
2025-03-03,short,0.0
2025-03-11,close,0.0
2025-03-12,short,0.0
2025-03-20,close,0.0
2025-03-24,long,0.0
2025-03-31,close,0.0
2025-04-04,long,0.0
2025-04-09,close,0.0
2025-04-09,short,550.0
2025-04-24,close,0.0
2025-05-06,long,0.0
2025-05-21,close,0.0
2025-05-23,short,0.0
2025-05-27,close,0.0
2025-05-27,long,-557.9999999999998
2025-05-28,close,0.0
2025-05-28,short,-77.9999999999994
2025-05-29,close,0.0
2025-05-29,long,107.00000000000003
2025-05-30,close,0.0
2025-06-02,long,0.0
2025-06-17,close,0.0
2025-06-23,long,0.0
2025-06-24,close,0.0
2025-06-27,short,0.0
2025-06-30,close,0.0
2025-07-01,long,0.0
2025-07-21,close,0.0
2025-07-21,short,76.99999999999996
2025-07-23,close,0.0
2025-07-23,long,-214.00000000000006
2025-07-24,close,0.0
2025-07-24,short,103.99999999999991
2025-07-31,close,0.0
2025-08-12,long,0.0
2025-08-21,close,0.0
2025-08-26,long,0.0
2025-08-27,close,0.0
2025-08-28,short,0.0
2025-08-29,close,0.0
2025-09-19,short,0.0
2025-09-26,close,0.0
2025-09-26,long,-184.0
2025-09-29,close,0.0
2025-09-29,short,180.00000000000006
2025-09-30,close,0.0
2025-10-07,short,0.0
2025-10-21,close,0.0
2025-10-28,short,0.0
2025-10-31,close,0.0
2025-11-03,long,0.0
2025-11-07,close,0.0
2025-11-07,short,310.0000000000001
2025-11-10,close,0.0
2025-11-10,long,498.99999999999983
2025-11-13,close,0.0
2025-11-17,short,0.0
2025-11-18,close,0.0
2025-11-18,long,145.00000000000028
2025-11-19,close,0.0
2025-11-20,short,0.0
2025-11-21,close,0.0
2025-11-21,long,816.0000000000003
2025-11-28,close,0.0
2025-12-10,long,0.0
2025-12-17,close,0.0
2025-12-18,long,0.0
2025-12-31,close,0.0
2026-01-02,short,0.0
2026-01-30,close,0.0
2026-02-02,long,0.0
2026-02-04,close,0.0
2026-02-05,short,0.0
2026-02-06,close,0.0
2026-02-09,long,0.0
2026-02-12,close,0.0
2026-02-12,short,246.00000000000009
2026-02-17,close,0.0
2026-02-19,short,0.0
2026-02-20,close,0.0
2026-02-23,short,0.0
2026-02-24,close,0.0
2026-02-24,long,346.0000000000001
2026-02-27,close,0.0
2026-03-02,short,0.0
2026-03-17,close,0.0
2026-03-17,long,430.9999999999999
2026-03-20,close,0.0
2026-03-20,short,1256.0000000000002
2026-03-23,close,0.0
2026-03-23,long,1100.0
2026-03-27,close,0.0
2026-03-27,short,1147.0
2026-03-31,close,0.0
2024-05-29,short,0.0
2024-05-30,rehedge,-10.469970703125
2024-05-31,close,114.3017578125
2024-06-18,long,0.0
2024-06-18,rehedge,0.0
2024-06-20,rehedge,1.489990234375
2024-06-21,close,210.93896484375
2024-06-24,short,0.0
2024-06-24,rehedge,0.0
2024-06-25,close,152.57196044921875
2024-06-26,long,0.0
2024-06-26,rehedge,0.0
2024-06-27,close,-50.7391357421875
2024-06-27,short,66.26086425781303
2024-06-28,close,-199.9522705078125
2024-07-05,short,0.0
2024-07-05,rehedge,0.0
2024-07-08,rehedge,0.0
2024-07-09,rehedge,0.0
2024-07-10,rehedge,0.0
